Nonce,Result
321,5.08
322,2.01
323,1.84
324,1.05
325,1.24
326,1.05
327,22.4
328,1.17
329,4.68
330,1.64
331,1.63
332,2.86
333,1.54
334,8.82
335,9.87
336,1.96
337,1.1
338,8.29
339,1.2
340,2.01
341,1.28
342,2.29
343,87.52
344,1.02
345,4.36
346,1.02
347,1.5
348,2.51
349,2.05
350,2.1
351,1.36
352,1.01
353,1.32
354,37.31
355,1.1
356,4.67
357,9.83
358,6.92
359,1.3
360,3.21
361,1.09
362,1.38
363,3.06
364,1.85
365,1.3
366,1.4
367,11.79
368,14.28
369,1.46
370,1.86
371,1.56
372,1.06
373,1.6
374,3.12
375,2.01
376,1.41
377,1.57
378,2.55
379,1.02
380,1.65
381,1.32
382,1.58
383,1.97
384,1.15
385,1.3
386,1.96
387,1.05
388,27.63
389,4.37
390,1.13
391,1.97
392,1.27
393,5.76
394,3.95
395,11.51
396,2.57
397,1
398,1.46
399,2.73
400,1.39
401,2.45
402,8.92
403,12.72
404,2.96
405,1.4
406,2.21
407,35.14
408,1.65
409,4.93
410,5.55
411,1.16
412,2.41
413,6.18
414,1.78
415,5.11
416,1.61
417,3.33
418,1
419,1.48
420,5.65
421,1.2
422,2.41
423,2.33
424,1.04
425,1.6
426,1.5
427,1.24
428,2.61
429,14.33
430,4.49
431,1.11
432,2.7
433,7.72
434,7.52
435,6.77
436,2.57
437,1.23
438,22.76
439,20.2
440,6.06
441,11.07
442,1.46
443,1.13
444,1.43
445,1.29
446,1.04
447,5.29
448,8.28
449,8.75
450,1.17
451,2.56
452,1.5
453,1.34
454,1.86
455,1.06
456,1.03
457,6.38
458,2.02
459,1.64
460,1.0
461,1.54
462,5.71
463,1.05
464,1.18
465,1.08
466,21.77
467,1.33
468,2.04
469,1.25
470,1.53
471,2.09
472,1.05
473,1.44
474,2.37
475,14.25
476,8.35
477,1.02
478,3.2
479,1.33
480,1.51
481,1.14
482,14.53
483,1.04
484,9.17
485,2.89
486,1.6
487,1
488,2.52
489,1.04
490,3.32
491,1.05
492,3.07
493,7.82
494,3.45
495,1.07
496,1.46
497,5.82
498,1.94
499,1.57
500,1.45
501,1.13
502,1.4
503,1.43
504,1.57
505,1.19
506,20.09
507,1.35
508,1.35
509,1.02
510,2.02
511,3.75
512,1.29
513,1.03
514,4.97
515,1.21
516,3.09
517,3.04
518,1.29
519,4.28
520,1.51
521,2.16
522,1.55
523,1.01
524,1.15
525,1
526,1.16
527,7.14
528,1.01
529,1.59
530,1.2
531,5.36
532,7.59
533,4.23
534,6.55
535,1.95
536,2.02
537,1.55
538,1.01
539,3.18
540,1.18
541,17.53
542,2.63
543,2.4
544,6.38
545,5.14
546,37.63
547,2.72
548,2.76
549,2.97
550,1.08
551,1.03
552,1.23
553,1.41
554,1.52
555,2.38
556,1.46
557,1.56
558,5.78
559,3.35
560,2.68
561,1.8
562,2.63
563,1.16
564,8.47
565,13.92
566,1.74
567,2.64
568,1.06
569,1.03
570,2.47
571,1.07
572,1.85
573,1.85
574,1.83
575,1.15
576,3.14
577,4.17
578,1.05
579,3.29
580,1.64
581,1.62
582,1.02
583,1.57
584,1.53
585,1.34
586,3.82
587,8.19
588,4.54
589,5.02
590,1.61
591,6.04
592,1.94
593,1.99
594,4.34
595,2.02
596,5.27
597,1.72
598,2.71
599,1.1
600,6.84
601,13.29
602,14.99
603,2.65
604,18.52
605,1.07
606,1.34
607,30.12
608,1.13
609,1.51
610,1.29
611,1.29
612,6.42
613,1.94
614,7.42
615,39.82
616,2.2
617,1.27
618,1.62
619,1.29
620,2.26
621,1.92
622,1.7
623,1
624,1.99
625,1.64
626,1.86
627,2.76
628,1.66
629,6.35
630,2.71
631,1.1
632,1.55
633,1.41
634,3.68
635,1.61
636,24.85
637,17.53
638,1.25
639,1.02
640,1.15
641,1.08
642,1.04
643,1.87
644,1.83
645,1.08
646,1.27
647,83.12
648,1.09
649,1.07
650,63.05
651,1.15
652,1.46
653,1.15
654,2.88
655,1.46
656,1.11
657,2.92
658,1.0
659,9.72
660,1.01
661,1.57
662,1.04
663,2.23
664,2.66
665,1.61
666,2.75
667,3.48
668,2.24
669,1.44
670,3.2
671,40.8
672,1.13
673,1.18
674,1.66
675,4.66
676,7.76
677,1.11
678,1.25
679,3.33
680,2.97
681,1.03
682,1086.27
683,20.18
684,1.01
685,1.33
686,1.43
687,3.15
688,3.27
689,57.49
690,1.04
691,1.3
692,27.74
693,10.2
694,4.57
695,1.16
696,1.07
697,1.55
698,1.3
699,1.56
700,10.3
701,3.99
702,1.92
703,10.65
704,1.68
705,1.85
706,2.3
707,3.65
708,46.52
709,2.9
710,163.65
711,1.02
712,2.52
713,3.73
714,1.58
715,8.48
716,2.29
717,2.96
718,9.69
719,4.79
720,2.76
721,1.06
722,1.76
723,1.78
724,16.2
725,1.25
726,7.98
727,1.72
728,2.75
729,1.38
730,21.35
731,9.15
732,9.71
733,24.04
734,1.9
735,1.31
736,1.09
737,1.15
738,6.99
739,1.22
740,3.7
741,1.85
742,6.13
743,1.8
744,1.28
745,2.0
746,2.74
747,1.84
748,1.7
749,2.15
750,2.57
751,1.37
752,1.23
753,10.36
754,2.35
755,1.7
756,1.27
757,9.74
758,6.15
759,6.05
760,2.36
761,2.48
762,5.96
763,1.04
764,7.36
765,11.13
766,1.46
767,1.37
768,3.09
769,33.02
770,1.14
771,1.0
772,1.06
773,5.17
774,1
775,1.32
776,8.21
777,1.24
778,1.34
779,1.76
780,3.74
781,1.2
782,1.39
783,3.87
784,1.67
785,1.69
786,99.51
787,1.07
788,1.33
789,3.42
790,3.4
791,1.83
792,12.35
793,2.05
794,1.27
795,1.42
796,1.18
797,1.06
798,5.24
799,15.09
800,2.14
801,4.35
802,1.01
803,1.37
804,1.94
805,1.0
806,16.8
807,2.72
808,2.9
809,1.38
810,1.35
811,1.35
812,1.26
813,1.02
814,1.35
815,2.89
816,6.41
817,1.36
818,1.52
819,2.85
820,1.23
821,2.04
822,12.81
823,1.16
824,2.95
825,2.01
826,2.47
827,1.59
828,14.29
829,1.11
830,1.63
831,19.91
832,11.44
833,5.18
834,1.12
835,1.04
836,4.44
837,1.13
838,2.48
839,4.65
840,1.72
841,5.72
842,1.13
843,27.24
844,1.38
845,3.31
846,1.73
847,16.02
848,8.26
849,1.89
850,1.0
851,1.07
852,17.08
853,1.47
854,1.9
855,8.55
856,2.79
857,1.16
858,20.66
859,1.87
860,1.55
861,8.95
862,1.84
863,13.0
864,1.35
865,9.24
866,2.42
867,1.84
868,2.69
869,2.24
870,1.32
871,11.27
872,1.44
873,2.49
874,7.64
875,7.67
876,1.2
877,1.48
878,2.6
879,3.12
880,1.05
881,1.77
882,15.64
883,7.09
884,1.28
885,1.29
886,1.9
887,2.37
888,1.34
889,8.11
890,1.04
891,1.73
892,1.08
893,2.7
894,4.58
895,29.49
896,2.1
897,1.08
898,5.35
899,36.74
900,1
901,1.03
902,25.4
903,1.15
904,2.09
905,1.45
906,1.81
907,5.36
908,1.4
909,1.02
910,1.27
911,6.03
912,3.72
913,1.52
914,2.95
915,1.73
916,1.95
917,13.57
918,1.37
919,8.28
920,1.17
921,1.63
922,1.81
923,8.71
924,2.6
925,3.06
926,53.36
927,4.7
928,2.15
929,9.06
930,1.29
931,1.15
932,2.61
933,2.45
934,84.72
935,2.74
936,1.1
937,2.23
938,1.02
939,11.03
940,1.43
941,1.13
942,14.04
943,1.46
944,6.67
945,6.83
946,1.04
947,1.16
948,8.84
949,1.11
950,4.76
951,2.38
952,1.32
953,1.07
954,1.06
955,1.45
956,3.05
957,103.36
958,1.62
959,2.46
960,11.21
961,1.25
962,1.55
963,2.17
964,1.09
965,1.01
966,10.08
967,2.38
968,1.34
969,1
970,3.64
971,2.98
972,1.76
973,1.11
974,1.56
975,1.97
976,2.16
977,1.78
978,1.28
979,1.07
980,3.34
981,4.18
982,4.88
983,1.12
984,1.78
985,1.03
986,1.3
987,1.19
988,3.12
989,64.64
990,1.3
991,1.09
992,1.81
993,4.87
994,4.74
995,1.46
996,2.83
997,1.1
998,1.17
999,4.22
1000,1.15
1001,16.59
1002,3.95
1003,2.55
1004,2.69
1005,1.01
1006,2.43
1007,1.97
1008,5.17
1009,3.34
1010,3.91
1011,1.36
1012,1.62
1013,1.84
1014,1.34
1015,6.98
1016,1.04
1017,1.25
1018,1.81
1019,2.56
1020,4.59
1021,2.67
1022,4.33
1023,11.14
1024,1.92
1025,3.96
1026,13.96
1027,2.49
1028,3.88
1029,3.81
1030,3.39
1031,1.47
1032,2.56
1033,98.42
1034,1.0
1035,1.07
1036,13.18
1037,1.57
1038,1.05
1039,1.31
1040,1.71
1041,1.42
1042,7.51
1043,1.04
1044,3.35
1045,1.61
1046,2.05
1047,1.22
1048,1.03
1049,3.69
1050,1.89
1051,1.16
1052,6.17
1053,14.97
1054,18.58
1055,2.76
1056,1.25
1057,5.34
1058,1.1
1059,1.33
1060,1.01
1061,1.98
1062,1.4
1063,1.74
1064,1.04
1065,1.32
1066,1.67
1067,1.12
1068,3.36
1069,1.42
1070,1.8
1071,1.26
1072,1.69
1073,2.82
1074,1.44
1075,5.78
1076,2.66
1077,1.43
1078,13.21
1079,1.23
1080,1.8
1081,5.48
1082,15.13
1083,3.06
1084,5.7
1085,1.17
1086,1.01
1087,1.03
1088,2.57
1089,1.7
1090,1.22
1091,1.0
1092,1.01
1093,1.15
1094,15.89
1095,1.52
1096,1.65
1097,1.84
1098,2.2
1099,1.04
1100,1.34
1101,3.83
1102,1.02
1103,1.45
1104,2.24
1105,1.84
1106,1.88
1107,2.17
1108,1.33
1109,2.31
1110,20.5
1111,6.05
1112,7.29
1113,3.5
1114,1.31
1115,1.2
1116,1.75
1117,5.85
1118,4.34
1119,1.12
1120,2.91
1121,2.17
1122,1.59
1123,1.14
1124,1.75
1125,1.36
1126,1.61
1127,1.55
1128,2.01
1129,6.38
1130,1.17
1131,1.02
1132,2.11
1133,1.23
1134,1.09
1135,1.02
1136,45.97
1137,1.81
1138,1.15
1139,1.94
1140,3.6
1141,3.65
1142,1.16
1143,1.15
1144,4.24
1145,2.44
1146,1.25
1147,34.13
1148,1.37
1149,2.12
1150,1.06
1151,10.66
1152,6.79
1153,1.04
1154,1.58
1155,23.55
1156,32.14
1157,1.47
1158,2.99
1159,1.3
1160,2.89
1161,1.29
1162,7.0
1163,1.03
1164,1.47
1165,1.19
1166,1.34
1167,7.46
1168,2.72
1169,1.59
1170,1.07
1171,1.21
1172,1.05
1173,1.84
1174,1.55
1175,35.19
1176,9.58
1177,2.98
1178,1.11
1179,1.49
1180,1.65
1181,1.39
1182,1.83
1183,1.07
1184,2.51
1185,1.24
1186,2.93
1187,21.66
1188,4.1
1189,3.48
1190,1.57
1191,9.71
1192,1.02
1193,4.15
1194,1.42
1195,17.31
1196,73.07
1197,5.15
1198,2.56
1199,1.74
1200,1.59
1201,2.11
1202,3.91
1203,2.82
1204,1.31
1205,2.06
1206,6.6
1207,1.11
1208,5.93
1209,2.41
1210,1.02
1211,1.97
1212,1.09
1213,9.72
1214,1.92
1215,1.76
1216,1.31
1217,2.17
1218,8.0
1219,7.71
1220,1.22
1221,1.1
1222,1.26
1223,1.2
1224,2.7
1225,62.81
1226,2.22
1227,2.36
1228,1.14
1229,1.58
1230,2.02
1231,1.92
1232,4.17
1233,1.34
1234,1.64
1235,2.45
1236,2.49
1237,3.41
1238,1.51
1239,1.48
1240,2.5
1241,1.17
1242,3.0
1243,1.13
1244,2.75
1245,7.3
1246,1.43
1247,1.74
1248,1.41
1249,4.69
1250,6.44
1251,3.37
1252,1.34
1253,1.31
1254,1.83
1255,6.42
1256,2.51
1257,1.81
1258,1.48
1259,1.42
1260,1.06
1261,1.07
1262,2.56
1263,2.72
1264,5.41
1265,1.56
1266,2.22
1267,1.26
1268,1.88
1269,2.36
1270,5.15
1271,18.12
1272,1.56
1273,8.63
1274,2.01
1275,1.51
1276,3.18
1277,3.17
1278,2.39
1279,1
1280,1.04
1281,1.15
1282,1.21
1283,2.2
1284,1.15
1285,16.85
1286,1.95
1287,2.08
1288,1.2
1289,1.22
1290,8.38
1291,12.13
1292,3.44
1293,1.03
1294,1.38
1295,1.28
1296,6.39
1297,4.55
1298,1.33
1299,1.48
1300,26.94
1301,1.0
1302,2.67
1303,22.67
1304,149.78
1305,7.01
1306,1.23
1307,1.56
1308,1.19
1309,1.76
1310,2.53
1311,3.5
1312,1.19
1313,61.64
1314,5.19
1315,8.51
1316,6.12
1317,1.02
1318,3.08
1319,1.38
1320,1.43
1321,1.6
1322,1.31
1323,1.03
1324,1.62
1325,4.92
1326,2.49
1327,1.24
1328,1.26
1329,1.47
1330,1.52
1331,2.79
1332,1.85
1333,1.08
1334,1.05
1335,2.61
1336,1.4
1337,1.27
1338,50.1
1339,1.09
1340,1.1
1341,1.56
1342,1.29
1343,1.85
1344,1.52
1345,2.11
1346,3.89
1347,3.3
1348,2.21
1349,2.09
1350,1.44
1351,1.16
1352,1.9
1353,7.49
1354,2.54
1355,2.07
1356,4.9
1357,8.27
1358,9.49
1359,1.71
1360,1.97
1361,3.72
1362,5.44
1363,1.73
1364,7.62
1365,2.0
1366,2.02
1367,1.53
1368,18.14
1369,1.2
1370,1.92
1371,1.43
1372,7.38
1373,1.77
1374,3.03
1375,1.1
1376,1.19
1377,1.36
1378,2.03
1379,4.18
1380,2.38
1381,7.95
1382,30.61
1383,1.2
1384,1.72
1385,1.78
1386,2.29
1387,1.29
1388,2.82
1389,1.48
1390,2.38
1391,1.45
1392,3.83
1393,3.57
1394,29.35
1395,2.12
1396,2.09
1397,1.68
1398,2.56
1399,37.92
1400,8.7
1401,2.75
1402,1.14
1403,31.89
1404,1.79
1405,3.9
1406,1.71
1407,38.93
1408,2.6
1409,2.58
1410,1.03
1411,1.1
1412,1.05
1413,1.29
1414,1
1415,2.97
1416,2.25
1417,2.85
1418,2.81
1419,3.1
1420,1.03
1421,1.85
1422,1.4
1423,1.45
1424,2.28
1425,1.15
1426,3.62
1427,2.14
1428,4.38
1429,1.15
1430,3.25
1431,1.73
1432,2.06
1433,1.85
1434,49.45
1435,9.25
1436,2.85
1437,1.09
1438,5.74
1439,2.81
1440,1.22
1441,1.12
1442,4.57
1443,6.98
1444,1.5
1445,2.87
1446,1.02
1447,2.5
1448,9.48
1449,2.27
1450,1.39
1451,1.75
1452,2.57
1453,5.56
1454,1.04
1455,1.39
1456,3.81
1457,1.11
1458,2.07
1459,1.92
1460,1.5
1461,3.46
1462,2.36
1463,1.39
1464,18.09
1465,13.67
1466,1.37
1467,14.11
1468,22.16
1469,2.36
1470,4.84
1471,2.7
1472,1.31
1473,2.72
1474,3.47
1475,2.79
1476,1.91
1477,1.43
1478,1.88
1479,1.38
1480,1.01
1481,4.67
1482,2.11
1483,1.2
1484,1.35
1485,2.91
1486,1.52
1487,3.46
1488,4.4
1489,4.01
1490,2.2
1491,2.02
1492,1.43
1493,1.81
1494,1.03
1495,1.88
1496,2.66
1497,1.86
1498,1.95
1499,1.34
1500,2.62
1501,1.72
1502,2.36
1503,3.24
1504,3.08
1505,1.17
1506,1.43
1507,2.16
1508,8.55
1509,1.06
1510,17.56
1511,4.42
1512,1.11
1513,1.85
1514,2.38
1515,1
1516,1.39
1517,2.96
1518,1.41
1519,3.26
1520,4.27
1521,1.03
1522,10.45
1523,2.8
1524,2.17
1525,1.64
1526,1.26
1527,1.86
1528,1.88
1529,8.41
1530,4.47
1531,3.93
1532,5.58
1533,1.97
1534,1.67
1535,1.9
1536,1.72
1537,2.14
1538,1.11
1539,2.12
1540,11.51
1541,1.01
1542,1.42
1543,1.38
1544,7.21
1545,2.85
1546,13.11
1547,1.26
1548,1.36
1549,3.23
1550,1
1551,1.09
1552,2.39
1553,5.24
1554,11.24
1555,2.79
1556,1.91
1557,2.83
1558,4.63
1559,1.84
1560,3.92
1561,1.08
1562,93.77
1563,1.47
1564,2.66
1565,1.11
1566,6.69
1567,1.34
1568,2.11
1569,6.34
1570,1.69
1571,3.28
1572,6.51
1573,13.71
1574,2.63
1575,1.28
1576,2.59
1577,2.67
1578,2.14
1579,63.15
1580,1.01
1581,1.01
1582,2.39
1583,17.21
1584,1.08
1585,1.1
1586,1.06
1587,1.66
1588,1.06
1589,3.04
1590,1.5
1591,2.61
1592,1.47
1593,8.01
1594,21.17
1595,4.71
1596,1.34
1597,3.24
1598,1.03
1599,10.24
1600,1.43
1601,1.1
1602,1.72
1603,1.09
1604,1.23
1605,2.42
1606,3.83
1607,2.47
1608,11.2
1609,2.68
1610,3.25
1611,2.45
1612,3.05
1613,1.04
1614,1.51
1615,6.37
1616,1.09
1617,12.67
1618,2.6
1619,1.98
1620,1.52
1621,1.21
1622,5.6
1623,5.22
1624,2.64
1625,1.35
1626,1.43
1627,1.31
1628,1.01
1629,1.42
1630,8.44
1631,11.34
1632,1.71
1633,152.29
1634,4.02
1635,380.37
1636,1.07
1637,4.19
1638,1.97
1639,1.72
1640,2.77
1641,1.77
1642,4.27
1643,1.7
1644,1.7
1645,1.48
1646,1.73
1647,2.83
1648,6.95
1649,1.49
1650,1.22
1651,21.04
1652,1.98
1653,1.39
1654,5.4
1655,6.93
1656,1.92
1657,1.43
1658,24.3
1659,15.52
1660,2.58
1661,2.18
1662,1.85
1663,1.3
1664,3.1
1665,5.79
1666,2.78
1667,1.11
1668,1.49
1669,1.01
1670,1.88
1671,1.3
1672,2.03
1673,3.9
1674,1.0
1675,12.73
1676,9.07
1677,3.4
1678,1.31
1679,1.58
1680,1.77
1681,23.83
1682,1.18
1683,1.85
1684,1.3
1685,22.4
1686,1.35
1687,3.87
1688,2.78
1689,1.02
1690,4.21
1691,8.46
1692,1.28
1693,1.26
1694,2.48
1695,2.6
1696,11.89
1697,1.22
1698,1.43
1699,8.84
1700,1.23
1701,2.01
1702,2.01
1703,6.71
1704,1.65
1705,1.02
1706,13.88
1707,1.18
1708,60.61
1709,1.29
1710,6.53
1711,2.29
1712,3.62
1713,1.92
1714,2.18
1715,1.72
1716,2.0
1717,3.83
1718,57.41
1719,4.95
1720,2.73
1721,2.29
1722,4.11
1723,1.38
1724,2.31
1725,1.94
1726,1.67
1727,1.09
1728,1.29
1729,9.75
1730,1.2
1731,7.15
1732,13.13
1733,1.21
1734,8.62
1735,1.06
1736,1.24
1737,1.02
1738,3.1
1739,3.29
1740,15.47
1741,6.31
1742,4.2
1743,1.11
1744,1.6
1745,4.35
1746,4.05
1747,1.2
1748,5.16
1749,3.21
1750,1.49
1751,1.25
1752,3.0
1753,1.06
1754,2.76
1755,1.54
1756,72.8
1757,4.95
1758,2.96
1759,6.48
1760,1.52
1761,9.14
1762,2.4
1763,1.23
1764,1.4
1765,13.1
1766,1.79
1767,2.28
1768,1.32
1769,1.37
1770,36.15
1771,1.56
1772,10.14
1773,5.01
1774,2.88
1775,1.41
1776,2.68
1777,1.46
1778,1.01
1779,1.07
1780,1.11
1781,1.38
1782,5.17
1783,1.51
1784,1.04
1785,1.49
1786,2.47
1787,1.13
1788,2.9
1789,3.59
1790,1.26
1791,2.29
1792,2.25
1793,160.65
1794,2.25
1795,34.07
1796,1.27
1797,1
1798,1.39
1799,4.7
1800,1.04
1801,20.74
1802,7.85
1803,1.1
1804,3.93
1805,1.49
1806,1.61
1807,5.17
1808,2.64
1809,1.68
1810,2.66
1811,2.03
1812,1.96
1813,1.37
1814,1.16
1815,1.38
1816,1.06
1817,80.41
1818,1.94
1819,6.0
1820,5.95
1821,1.41
1822,2.37
1823,1.95
1824,6.13
1825,2.81
1826,1.76
1827,33.11
1828,2.86
1829,1.71
1830,1.24
1831,8.9
1832,1.32
1833,21.28
1834,13.47
1835,1.78
1836,1.09
1837,10.78
1838,1.46
1839,1.34
1840,1.17
1841,21.45
1842,26.98
1843,2.36
1844,3.12
1845,1.21
1846,1.31
1847,1.13
1848,3.86
1849,1.03
1850,5.29
1851,3.97
1852,6.8
1853,1.03
1854,8.4
1855,1.03
1856,1.63
1857,3.88
1858,1.27
1859,1.5
1860,1.61
1861,1.45
1862,3.2
1863,3.01
1864,5.61
1865,1.0
1866,2.35
1867,7.25
1868,1.07
1869,1.09
1870,1.52
1871,1
1872,3.34
1873,2.44
1874,26.45
1875,3.69
1876,9.12
1877,1.94
1878,1.77
1879,1.46
1880,3.74
1881,1.65
1882,1.48
1883,4.21
1884,3.82
1885,2.99
1886,3.41
1887,2.22
1888,1.36
1889,2.13
1890,5.35
1891,2.41
1892,2.0
1893,1.57
1894,3.82
1895,1.01
1896,1.37
1897,1.53
1898,2.18
1899,1.46
1900,1.16
1901,1.22
1902,2.48
1903,1.76
1904,1.11
1905,16.26
1906,1.05
1907,5.21
1908,4.08
1909,1.36
1910,1.86
1911,1.32
1912,2.57
1913,3.49
1914,1.02
1915,7.49
1916,1.61
1917,789.02
1918,1.34
1919,1.01
1920,1.63
1921,1.36
1922,24.01
1923,1.59
1924,1.87
1925,1.94
1926,1.29
1927,4.44
1928,2.86
1929,2.33
1930,1.47
1931,1.24
1932,1.07
1933,1.72
1934,2.67
1935,1.24
1936,3.21
1937,3.26
1938,2.21
1939,2.24
1940,1.43
1941,1.11
1942,1.33
1943,1.31
1944,18.27
1945,2.09
1946,5.88
1947,1.15
1948,1.52
1949,2.03
1950,1.75
1951,1.63
1952,9.42
1953,1.54
1954,5.27
1955,2.31
1956,3.33
1957,1.1
1958,1
1959,2.12
1960,1.47
1961,1.74
1962,2.99
1963,1.09
1964,5.62
1965,1.04
1966,2.42
1967,2.74
1968,1.3
1969,2.43
1970,2.86
1971,1.04
1972,2.35
1973,2.79
1974,2.49
1975,2.22
1976,1.38
1977,3.85
1978,1.46
1979,1.05
1980,1.48
1981,1.89
1982,1.1
1983,1.62
1984,1
1985,1.34
1986,1.05
1987,2.51
1988,37.78
1989,1.27
1990,2.3
1991,3.56
1992,4.23
1993,2.33
1994,1.45
1995,1.82
1996,289.16
1997,2.09
1998,1.15
1999,10.58
2000,1.02
2001,3.03
2002,1.46
2003,7.79
2004,1.83
2005,1.61
2006,1.35
2007,1.11
2008,1.74
2009,16.89
2010,2.68
2011,15.37
2012,2.1
2013,3.47
2014,15.25
2015,1.19
2016,1.3
2017,4.15
2018,1.29
2019,3.69
2020,2.62
2021,10.0
2022,1.74
2023,1.34
2024,1.85
2025,1.39
2026,6.24
2027,13.17
2028,3.53
2029,1.13
2030,2.02
2031,1.14
2032,2.4
2033,6.17
2034,1.45
2035,4.31
2036,21.18
2037,2.65
2038,3.69
2039,4.16
2040,1.15
2041,2.84
2042,2.32
2043,1.16
2044,1.48
2045,2.15
2046,1.1
2047,1.17
2048,1.21
2049,1.3
2050,1.37
2051,1.19
2052,1.35
2053,10.27
2054,1.44
2055,20.35
2056,1.07
2057,2.04
2058,1.2
2059,6.96
2060,1.23
2061,2.22
2062,1.07
2063,1.23
2064,7.9
2065,1.86
2066,2.28
2067,8.06
2068,1.1
2069,1.33
2070,1.57
2071,1.3
2072,1.76
2073,1.13
2074,5.45
2075,1.89
2076,2.4
2077,2.55
2078,2.24
2079,1.55
2080,1.23
2081,6.67
2082,1.74
2083,2.64
2084,3.19
2085,1.02
2086,11.86
2087,14.14
2088,1.17
2089,6.43
2090,3.35
2091,1.5
2092,1.98
2093,3.68
2094,12.35
2095,1.32
2096,1.16
2097,10.79
2098,1.13
2099,1.69
2100,4.0
2101,64.09
2102,1.58
2103,4.67
2104,3.15
2105,2.02
2106,1.17
2107,1.37
2108,1.44
2109,5.1
2110,1.14
2111,1.2
2112,1.02
2113,2.24
2114,2.35
2115,1.81
2116,6.18
2117,1.14
2118,1.14
2119,105.79
2120,1.48
2121,1.04
2122,1.69
2123,2.36
2124,2.32
2125,1.44
2126,158.37
2127,1.18
2128,6.28
2129,1.45
2130,1.0
2131,1.0
2132,1.21
2133,1.16
2134,1.05
2135,1.05
2136,2.0
2137,5.05
2138,2.03
2139,2.59
2140,1.22
2141,2.85
2142,2.43
2143,5.62
2144,1.25
